"date","hits","keyword","geo","time","gprop","category"
2021-08-15,"1","Trump","US","today+5-y","web",0
2021-08-22,"1","Trump","US","today+5-y","web",0
2021-08-29,"<1","Trump","US","today+5-y","web",0
2021-09-05,"<1","Trump","US","today+5-y","web",0
2021-09-12,"<1","Trump","US","today+5-y","web",0
2021-09-19,"<1","Trump","US","today+5-y","web",0
2021-09-26,"<1","Trump","US","today+5-y","web",0
2021-10-03,"<1","Trump","US","today+5-y","web",0
2021-10-10,"<1","Trump","US","today+5-y","web",0
2021-10-17,"<1","Trump","US","today+5-y","web",0
2021-10-24,"<1","Trump","US","today+5-y","web",0
2021-10-31,"<1","Trump","US","today+5-y","web",0
2021-11-07,"<1","Trump","US","today+5-y","web",0
2021-11-14,"<1","Trump","US","today+5-y","web",0
2021-11-21,"<1","Trump","US","today+5-y","web",0
2021-11-28,"<1","Trump","US","today+5-y","web",0
2021-12-05,"<1","Trump","US","today+5-y","web",0
2021-12-12,"<1","Trump","US","today+5-y","web",0
2021-12-19,"<1","Trump","US","today+5-y","web",0
2021-12-26,"<1","Trump","US","today+5-y","web",0
2022-01-02,"<1","Trump","US","today+5-y","web",0
2022-01-09,"<1","Trump","US","today+5-y","web",0
2022-01-16,"<1","Trump","US","today+5-y","web",0
2022-01-23,"<1","Trump","US","today+5-y","web",0
2022-01-30,"<1","Trump","US","today+5-y","web",0
2022-02-06,"<1","Trump","US","today+5-y","web",0
2022-02-13,"<1","Trump","US","today+5-y","web",0
2022-02-20,"1","Trump","US","today+5-y","web",0
2022-02-27,"1","Trump","US","today+5-y","web",0
2022-03-06,"<1","Trump","US","today+5-y","web",0
2022-03-13,"<1","Trump","US","today+5-y","web",0
2022-03-20,"<1","Trump","US","today+5-y","web",0
2022-03-27,"<1","Trump","US","today+5-y","web",0
2022-04-03,"<1","Trump","US","today+5-y","web",0
2022-04-10,"<1","Trump","US","today+5-y","web",0
2022-04-17,"<1","Trump","US","today+5-y","web",0
2022-04-24,"<1","Trump","US","today+5-y","web",0
2022-05-01,"<1","Trump","US","today+5-y","web",0
2022-05-08,"<1","Trump","US","today+5-y","web",0
2022-05-15,"<1","Trump","US","today+5-y","web",0
2022-05-22,"<1","Trump","US","today+5-y","web",0
2022-05-29,"<1","Trump","US","today+5-y","web",0
2022-06-05,"<1","Trump","US","today+5-y","web",0
2022-06-12,"<1","Trump","US","today+5-y","web",0
2022-06-19,"<1","Trump","US","today+5-y","web",0
2022-06-26,"1","Trump","US","today+5-y","web",0
2022-07-03,"<1","Trump","US","today+5-y","web",0
2022-07-10,"1","Trump","US","today+5-y","web",0
2022-07-17,"1","Trump","US","today+5-y","web",0
2022-07-24,"<1","Trump","US","today+5-y","web",0
2022-07-31,"<1","Trump","US","today+5-y","web",0
2022-08-07,"1","Trump","US","today+5-y","web",0
2022-08-14,"1","Trump","US","today+5-y","web",0
2022-08-21,"<1","Trump","US","today+5-y","web",0
2022-08-28,"1","Trump","US","today+5-y","web",0
2022-09-04,"<1","Trump","US","today+5-y","web",0
2022-09-11,"<1","Trump","US","today+5-y","web",0
2022-09-18,"<1","Trump","US","today+5-y","web",0
2022-09-25,"<1","Trump","US","today+5-y","web",0
2022-10-02,"<1","Trump","US","today+5-y","web",0
2022-10-09,"<1","Trump","US","today+5-y","web",0
2022-10-16,"<1","Trump","US","today+5-y","web",0
2022-10-23,"<1","Trump","US","today+5-y","web",0
2022-10-30,"<1","Trump","US","today+5-y","web",0
2022-11-06,"1","Trump","US","today+5-y","web",0
2022-11-13,"1","Trump","US","today+5-y","web",0
2022-11-20,"<1","Trump","US","today+5-y","web",0
2022-11-27,"<1","Trump","US","today+5-y","web",0
2022-12-04,"<1","Trump","US","today+5-y","web",0
2022-12-11,"<1","Trump","US","today+5-y","web",0
2022-12-18,"<1","Trump","US","today+5-y","web",0
2022-12-25,"<1","Trump","US","today+5-y","web",0
2023-01-01,"<1","Trump","US","today+5-y","web",0
2023-01-08,"<1","Trump","US","today+5-y","web",0
2023-01-15,"<1","Trump","US","today+5-y","web",0
2023-01-22,"<1","Trump","US","today+5-y","web",0
2023-01-29,"<1","Trump","US","today+5-y","web",0
2023-02-05,"<1","Trump","US","today+5-y","web",0
2023-02-12,"<1","Trump","US","today+5-y","web",0
2023-02-19,"<1","Trump","US","today+5-y","web",0
2023-02-26,"<1","Trump","US","today+5-y","web",0
2023-03-05,"<1","Trump","US","today+5-y","web",0
2023-03-12,"<1","Trump","US","today+5-y","web",0
2023-03-19,"1","Trump","US","today+5-y","web",0
2023-03-26,"1","Trump","US","today+5-y","web",0
2023-04-02,"2","Trump","US","today+5-y","web",0
2023-04-09,"<1","Trump","US","today+5-y","web",0
2023-04-16,"<1","Trump","US","today+5-y","web",0
2023-04-23,"<1","Trump","US","today+5-y","web",0
2023-04-30,"<1","Trump","US","today+5-y","web",0
2023-05-07,"1","Trump","US","today+5-y","web",0
2023-05-14,"<1","Trump","US","today+5-y","web",0
2023-05-21,"<1","Trump","US","today+5-y","web",0
2023-05-28,"<1","Trump","US","today+5-y","web",0
2023-06-04,"1","Trump","US","today+5-y","web",0
2023-06-11,"1","Trump","US","today+5-y","web",0
2023-06-18,"<1","Trump","US","today+5-y","web",0
2023-06-25,"<1","Trump","US","today+5-y","web",0
2023-07-02,"<1","Trump","US","today+5-y","web",0
2023-07-09,"<1","Trump","US","today+5-y","web",0
2023-07-16,"<1","Trump","US","today+5-y","web",0
2023-07-23,"<1","Trump","US","today+5-y","web",0
2023-07-30,"1","Trump","US","today+5-y","web",0
2023-08-06,"1","Trump","US","today+5-y","web",0
2023-08-13,"1","Trump","US","today+5-y","web",0
2023-08-20,"2","Trump","US","today+5-y","web",0
2023-08-27,"1","Trump","US","today+5-y","web",0
2023-09-03,"<1","Trump","US","today+5-y","web",0
2023-09-10,"<1","Trump","US","today+5-y","web",0
2023-09-17,"<1","Trump","US","today+5-y","web",0
2023-09-24,"1","Trump","US","today+5-y","web",0
2023-10-01,"1","Trump","US","today+5-y","web",0
2023-10-08,"<1","Trump","US","today+5-y","web",0
2023-10-15,"<1","Trump","US","today+5-y","web",0
2023-10-22,"<1","Trump","US","today+5-y","web",0
2023-10-29,"<1","Trump","US","today+5-y","web",0
2023-11-05,"1","Trump","US","today+5-y","web",0
2023-11-12,"<1","Trump","US","today+5-y","web",0
2023-11-19,"<1","Trump","US","today+5-y","web",0
2023-11-26,"<1","Trump","US","today+5-y","web",0
2023-12-03,"<1","Trump","US","today+5-y","web",0
2023-12-10,"<1","Trump","US","today+5-y","web",0
2023-12-17,"1","Trump","US","today+5-y","web",0
2023-12-24,"<1","Trump","US","today+5-y","web",0
2023-12-31,"<1","Trump","US","today+5-y","web",0
2024-01-07,"1","Trump","US","today+5-y","web",0
2024-01-14,"1","Trump","US","today+5-y","web",0
2024-01-21,"1","Trump","US","today+5-y","web",0
2024-01-28,"1","Trump","US","today+5-y","web",0
2024-02-04,"1","Trump","US","today+5-y","web",0
2024-02-11,"1","Trump","US","today+5-y","web",0
2024-02-18,"1","Trump","US","today+5-y","web",0
2024-02-25,"1","Trump","US","today+5-y","web",0
2024-03-03,"1","Trump","US","today+5-y","web",0
2024-03-10,"1","Trump","US","today+5-y","web",0
2024-03-17,"1","Trump","US","today+5-y","web",0
2024-03-24,"1","Trump","US","today+5-y","web",0
2024-03-31,"1","Trump","US","today+5-y","web",0
2024-04-07,"1","Trump","US","today+5-y","web",0
2024-04-14,"1","Trump","US","today+5-y","web",0
2024-04-21,"1","Trump","US","today+5-y","web",0
2024-04-28,"1","Trump","US","today+5-y","web",0
2024-05-05,"1","Trump","US","today+5-y","web",0
2024-05-12,"1","Trump","US","today+5-y","web",0
2024-05-19,"1","Trump","US","today+5-y","web",0
2024-05-26,"3","Trump","US","today+5-y","web",0
2024-06-02,"1","Trump","US","today+5-y","web",0
2024-06-09,"1","Trump","US","today+5-y","web",0
2024-06-16,"1","Trump","US","today+5-y","web",0
2024-06-23,"1","Trump","US","today+5-y","web",0
2024-06-30,"1","Trump","US","today+5-y","web",0
2024-07-07,"3","Trump","US","today+5-y","web",0
2024-07-14,"9","Trump","US","today+5-y","web",0
2024-07-21,"2","Trump","US","today+5-y","web",0
2024-07-28,"2","Trump","US","today+5-y","web",0
2024-08-04,"1","Trump","US","today+5-y","web",0
2024-08-11,"1","Trump","US","today+5-y","web",0
2024-08-18,"2","Trump","US","today+5-y","web",0
2024-08-25,"1","Trump","US","today+5-y","web",0
2024-09-01,"1","Trump","US","today+5-y","web",0
2024-09-08,"2","Trump","US","today+5-y","web",0
2024-09-15,"2","Trump","US","today+5-y","web",0
2024-09-22,"1","Trump","US","today+5-y","web",0
2024-09-29,"1","Trump","US","today+5-y","web",0
2024-10-06,"1","Trump","US","today+5-y","web",0
2024-10-13,"2","Trump","US","today+5-y","web",0
2024-10-20,"2","Trump","US","today+5-y","web",0
2024-10-27,"3","Trump","US","today+5-y","web",0
2024-11-03,"9","Trump","US","today+5-y","web",0
2024-11-10,"3","Trump","US","today+5-y","web",0
2024-11-17,"2","Trump","US","today+5-y","web",0
2024-11-24,"1","Trump","US","today+5-y","web",0
2024-12-01,"1","Trump","US","today+5-y","web",0
2024-12-08,"1","Trump","US","today+5-y","web",0
2024-12-15,"1","Trump","US","today+5-y","web",0
2024-12-22,"1","Trump","US","today+5-y","web",0
2024-12-29,"1","Trump","US","today+5-y","web",0
2025-01-05,"1","Trump","US","today+5-y","web",0
2025-01-12,"1","Trump","US","today+5-y","web",0
2025-01-19,"6","Trump","US","today+5-y","web",0
2025-01-26,"3","Trump","US","today+5-y","web",0
