"Rank","Country","GDP_USD","newyear"
NA,"3,408","3,019","3,019"
NA,"—","3,327","3,041"
NA,"3,300","2,752","2,555"
NA,"3,297","3,516","3,079"
NA,"—","3,281","3,281"
NA,"2,915","2,768","2,591"
NA,"2,659","2,549","2,430"
NA,"2,497","2,508","2,401"
NA,"—","—","2,483"
NA,"2,474","2,120","1,841"
NA,"2,390","2,272","2,118"
NA,"2,340","2,225","2,033"
NA,"—","—","2,275"
NA,"2,241","1,832","1,987"
NA,"2,230","2,167","2,141"
NA,"2,125","1,881","2,080"
NA,"1,904","1,761","1,633"
NA,"—","1,745","1,402"
NA,"—","1,735","1,677"
NA,"1,613","1,546","1,448"
NA,"—","—","1,506"
NA,"1,458","1,391","1,317"
NA,"1,248","1,068","1,032"
NA,"1,238","1,157","1,091"
NA,"1,141","1,067","1,058"
NA,"1,119","1,161","1,119"
NA,"—","1,096","—"
NA,"976","764","684"
NA,"—","871","—"
NA,"748","689","651"
NA,"—","649","—"
NA,"587","509","508"
NA,"495","471","460"
NA,"—","—","416"
NA,"—","—","366"
NA,"341","282","282"
NA,"321","308","289"
NA,"302","280","270"
NA,"172","160","176"
NA,"—","—","80"
NA,"58","62","68"
