"Rank","Country","Forexres","Date","Change","Sources","NA","NA","newdate"
"Country(as recognized by the U.N.)","Continent","Including gold","Including gold","Excluding gold","Excluding gold","Last reporteddate","Ref.","Including gold"
"Country(as recognized by the U.N.)","Continent","millions U.S.$","Change","millions U.S.$","Change","Last reporteddate","Ref.","Change"
"Ivory Coast","Africa","9,800","18","—","—","1 Mar 2024","[78]","18"
"Paraguay","Americas","9,707","805","9,168","7","1 Mar 2024","[79]","805"
"North Korea","Asia","9,109","73","—","—","1 Mar 2024","[80]","73"
"Bosnia and Herzegovina","Europe","8,711","391","—","—","1 Mar 2024","[81]","391"
"Belarus","Europe","8,697","165","4,333","19","31 Aug 2024","[82]","165"
"Tunisia","Africa","8,623","539","—","—","21 Mar 2024","[83]","539"
"Finland","Europe","7,995","22","—","—","1 Mar 2024","[84]","22"
"Slovakia","Europe","7,650","441","—","—","1 Mar 2024","[85]","441"
"Honduras","Americas","7,390","580","—","—","21 Mar 2024","[86]","580"
"Tanzania","Africa","7,022","600","—","—","22 Mar 2024","[87]","600"
"Iceland","Europe","6,847","24","6,668","9","15 Mar 2024","[88]","24"
"Myanmar","Asia","6,700","800","—","—","1 Mar 2024","[89]","800"
"Sri Lanka","Asia","6,467","475","6,425","2","31 Oct 2024","[90]","475"
"Panama","Americas","6,143","200","—","—","1 Mar 2024","[91]","200"
"Venezuela","Americas","5,908","776","—","—","1 Mar 2024","[92]","776"
"Trinidad and Tobago","Americas","5,800","44","—","—","18 Mar 2024","[93]","44"
"Moldova","Europe","5,600","600","—","—","30 Aug 2024","[94]","600"
"Mauritius","Africa","5,591","196","5,497","27","1 Mar 2024","[95]","196"
"Bahrain","Asia","5,500","128","—","—","25 Mar 2024","[96]","128"
"Albania","Europe","5,290","200","5,290","47","31 Apr 2024","[97]","200"
"Georgia","Europe","5,224","25.58","—","—","25 Mar 2024","[98]","25.58"
"Mongolia","Asia","5,120","500","—","—","20 Mar 2024","[99]","500"
"Botswana","Africa","5,080","267","—","—","1 Mar 2024","[100]","267"
"Jamaica","Americas","4,921","300","—","—","5 Mar 2024","[101]","300"
"Lithuania","Europe","4,900","440","—","—","1 Mar 2024","[102]","440"
"Vatican City","Europe","4,339","950","—","—","1 Mar 2024","[103]","950"
"Armenia","Asia","4,298","600","—","—","25 Mar 2024","[104]","600"
"Nicaragua","Americas","3,980","1,100","—","—","1 Mar 2024","[105]","1,100"
"Greece","Europe","3,926","107","3,869","8","1 Mar 2024","[106]","107"
